"Kerncijfers wijken en buurten 2014"
"Onderwerpen";"Regioaanduiding";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen"
"Onderwerpen";"Codering";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van huishoudens";"Inkomen van huishoudens";"Inkomen van huishoudens";"Inkomen van huishoudens"
"Onderwerpen";"Codering";"Aantal inkomensontvangers  ";"Gemiddeld inkomen per inkomensontvanger ";"Gemiddeld inkomen per inwoner ";"40% personen met laagste inkomen";"20% personen met hoogste inkomen";"Actieven 15-75 jaar";"40% huishoudens met laagste inkomen";"20% huishoudens met hoogste inkomen";"Huishoudens met een laag inkomen";"Huish. onder of rond sociaal minimum"
"Wijken en buurten";"code";"aantal";"x 1 000 euro";"x 1 000 euro";"%";"%";"%";"%";"%";"%";"%"
"Damsterbuurt";"BU00140404";"600";"21.6";"20.2";"57";"13";"45";"76";"7";"24";"15"
"Wijk 05 Oosterpoortwijk";"WK001405";"7600";"27.5";"23.6";"46";"20";"55";"59";"14";"16";"13"
"Oosterpoortbuurt";"BU00140500";"4400";"21.8";"19.9";"57";"13";"47";"72";"7";"21";"16"
"Industriebuurt";"BU00140501";"2200";"37.6";"30.6";"28";"35";"69";"35";"27";"10";"8"
"Euvelgunne";"BU00140502";"100";".";".";".";".";".";".";".";".";"."
"Middelbert";"BU00140503";"100";"33.2";"26.8";"40";"31";"57";".";".";".";"."
"Engelbert";"BU00140504";"700";"32.3";"24.1";"35";"24";"63";"30";"27";"7";"7"
"Roodehaan";"BU00140505";"0";".";".";".";".";".";".";".";".";"."
"Woonschepenhaven";"BU00140509";"100";"20.8";"17.0";"48";"3";"57";".";".";".";"."
"Wijk 06 Herewegwijk en Helpman";"WK001406";"19800";"30.0";"25.5";"42";"22";"54";"57";"15";"13";"10"
"Herewegbuurt";"BU00140600";"2400";"24.0";"22.0";"55";"17";"48";"71";"9";"19";"13"
"Rivierenbuurt";"BU00140601";"2900";"23.3";"21.7";"52";"15";"48";"70";"7";"12";"9"
"Helpman-West";"BU00140602";"2200";"30.6";"26.2";"39";"24";"57";"56";"14";"12";"9"
"Villabuurt-Oost";"BU00140603";"700";"49.0";"39.8";"39";"38";"47";"44";"41";"12";"9"
"Helpman-Oost";"BU00140604";"2700";"28.8";"25.1";"44";"21";"55";"62";"12";"16";"12"
"Coendersborg";"BU00140605";"2600";"38.1";"30.1";"25";"34";"64";"31";"28";"5";"3"
"De Wijert-Noord";"BU00140606";"3800";"23.4";"19.6";"46";"10";"53";"66";"5";"20";"16"
"De Wijert-Zuid";"BU00140607";"2000";"37.8";"30.0";"28";"33";"57";"30";"31";"4";"3"
"Villabuurt-West";"BU00140608";"500";"54.9";"38.2";"22";"48";"58";"18";"55";"2";"2"
"Woonwagenkamp";"BU00140609";"0";".";".";".";".";".";".";".";".";"."
"Wijk 07 Stadsparkwijk";"WK001407";"12800";"30.0";"24.5";"41";"21";"57";"52";"16";"12";"10"
"Laanhuizen";"BU00140700";"1100";"24.2";"21.6";"49";"17";"51";"62";"8";"11";"8"
"Grunobuurt";"BU00140701";"1900";"21.7";"20.2";"53";"12";"51";"70";"6";"15";"12"
"Corpus Den Hoorn-Noord";"BU00140702";"3600";"24.2";"20.7";"44";"11";"56";"62";"7";"14";"12"
"Corpus Den Hoorn-Zuid";"BU00140703";"4900";"36.7";"29.0";"34";"30";"59";"37";"26";"8";"7"
"Stadspark";"BU00140704";"1100";"41.0";"26.8";"25";"42";"72";"14";"51";"7";"6"
"Peizerweg";"BU00140705";"0";".";".";".";".";".";".";".";".";"."
"Woonwagenkamp";"BU00140709";"200";"14.5";"10.4";"79";"2";"27";"84";"1";"51";"55"
"Wijk 08 Hoogkerk";"WK001408";"11100";"30.1";"21.6";"34";"22";"64";"31";"23";"8";"6"
"Hoogkerk-Dorp";"BU00140800";"1300";"22.9";"17.6";"46";"10";"49";"56";"7";"16";"13"
"Hoogkerk-Zuid";"BU00140801";"3400";"23.5";"18.1";"44";"10";"55";"42";"7";"10";"7"
"Vierverlaten";"BU00140802";"100";"24.8";"18.6";"41";"15";"68";".";".";".";"."
"Leegkerk";"BU00140803";"2500";"36.0";"23.7";"25";"31";"73";"14";"40";"4";"3"
"Dorkwerd";"BU00140804";"1700";"40.2";"27.3";"21";"38";"78";"14";"43";"4";"3"
"Bangeweer";"BU00140805";"1000";"28.4";"20.2";"36";"20";"66";"31";"20";"6";"5"
"De Held";"BU00140806";"1100";"32.6";"23.2";"33";"26";"63";"24";"29";"7";"5"
"Zuidwending";"BU00140807";"0";".";".";".";".";".";".";".";".";"."
"Wijk 09 Noorddijk";"WK001409";"24600";"26.4";"20.0";"40";"16";"58";"45";"14";"16";"12"
"Oosterhoogebrug";"BU00140900";"2600";"29.3";"22.9";"37";"21";"60";"34";"20";"8";"7"
"Lewenborg-Zuid";"BU00140901";"2400";"22.7";"17.2";"44";"8";"55";"54";"6";"19";"15"
"Lewenborg-Noord";"BU00140902";"2700";"22.7";"17.4";"47";"9";"47";"55";"6";"20";"18"
"Lewenborg-West";"BU00140903";"1700";"26.5";"20.9";"35";"15";"61";"33";"11";"7";"4"
"Bovenstreek";"BU00140904";"200";"36.7";"28.0";"27";"35";"63";".";".";".";"."
"Beijum-Oost";"BU00140905";"4800";"21.9";"16.4";"49";"9";"51";"61";"7";"28";"20"
"Beijum-West";"BU00140906";"4700";"24.9";"19.0";"41";"13";"58";"51";"8";"16";"13"
"Ulgersmabuurt";"BU00140907";"4000";"33.3";"25.0";"30";"30";"67";"19";"33";"5";"4"
"Ruischerbrug";"BU00140908";"1500";"32.5";"24.1";"28";"26";"69";"25";"27";"5";"3"
"Grootegast";"GM0015";"8900";"25.1";"18.5";"44";"14";"60";"36";"17";"8";"6"
"Wijk 00 Grootegast";"WK001500";"3800";"24.6";"18.1";"46";"13";"59";"40";"15";"9";"8"
"Grootegast";"BU00150000";"2400";"24.4";"18.1";"48";"12";"57";"44";"13";"10";"9"
"Doezum";"BU00150001";"500";"23.4";"16.9";"45";"10";"60";"39";"15";"7";"4"
"Sebaldeburen";"BU00150002";"300";"22.7";"16.1";"43";"14";"62";"34";"16";"8";"6"
"Het Peebos";"BU00150006";"100";"25.5";"19.7";"44";"17";"51";".";".";".";"."
"Verspr.h. ten zuiden van Sebaldeburen";"BU00150007";"200";"27.1";"20.2";"38";"18";"65";".";".";".";"."
"Verspr.h. ten zuiden van Grootegast";"BU00150008";"200";"25.9";"18.4";"46";"18";"60";"27";"25";"11";"9"
"Overige verspreide huizen";"BU00150009";"200";"28.8";"21.3";"33";"19";"62";".";".";".";"."
"Wijk 01 Lutjegast";"WK001501";"800";"26.6";"18.9";"39";"15";"63";"31";"22";"10";"7"
"Lutjegast";"BU00150100";"500";"25.8";"18.1";"39";"13";"64";"35";"15";"9";"6"
