"Kerncijfers wijken en buurten 2014"
"Onderwerpen";"Regioaanduiding";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen"
"Etten";"BU15090003";"605";"195";"94";"6";".";".";"76";"24";".";".";"0"
"Varsselder en Veldhunten";"BU15090004";"270";"236";"97";"3";".";".";"86";"14";".";".";"0"
"Verspreide huizen Varsselder";"BU15090007";"129";"272";"94";"6";".";".";"86";"14";".";".";"0"
"Verspreide huizen Etten";"BU15090008";"161";"295";"85";"15";".";".";"86";"14";".";".";"0"
"Verspreide huizen Ulft";"BU15090009";"159";"209";"92";"8";".";".";"59";"41";".";".";"0"
"Wijk 01 Overig Gendringen";"WK150901";"2997";"209";"88";"12";".";".";"68";"32";".";".";"0"
"Gendringen";"BU15090100";"1792";"180";"86";"14";".";".";"56";"44";".";".";"0"
"Megchelen";"BU15090101";"246";"220";"98";"2";".";".";"78";"22";".";".";"0"
"Netterden";"BU15090102";"157";"244";"98";"2";".";".";"81";"19";".";".";"0"
"Milt en Wieken";"BU15090103";"26";".";"100";"0";".";".";"85";"15";".";".";"0"
"Breedenbroek";"BU15090104";"176";"224";"92";"8";".";".";"87";"13";".";".";"0"
"Verspreide huizen Megchelen";"BU15090105";"128";"320";"89";"11";".";".";"88";"10";".";".";"2"
"Verspreide huizen Gendringen";"BU15090106";"99";"280";"90";"10";".";".";"89";"11";".";".";"0"
"Verspreide huizen Netterden";"BU15090107";"59";".";"93";"7";".";".";"86";"14";".";".";"0"
"Verspreide huizen Voorst";"BU15090108";"106";"286";"75";"25";".";".";"92";"8";".";".";"0"
"Verspreide huizen Breedenbroek";"BU15090109";"208";"291";"86";"14";".";".";"87";"13";".";".";"0"
"Wijk 02 Silvolde-Terborg";"WK150902";"4566";"186";"86";"14";".";".";"61";"39";".";".";"1"
"Terborg";"BU15090200";"1941";"171";"87";"13";".";".";"58";"42";".";".";"0"
"Terborg-Oost";"BU15090201";"70";"276";"100";"0";".";".";"90";"10";".";".";"0"
"Silvolde";"BU15090202";"2225";"184";"83";"17";".";".";"58";"40";".";".";"2"
"Nieuwdorp Bontebrug";"BU15090203";"74";"218";"100";"0";".";".";"88";"12";".";".";"0"
"Verspreide huizen Terborg en Heuven";"BU15090207";"66";"300";"91";"9";".";".";"86";"14";".";".";"0"
"Verspreide huizen Silvolde";"BU15090208";"190";"305";"85";"15";".";".";"84";"16";".";".";"0"
"Wijk 03 Varsseveld";"WK150903";"3917";"222";"84";"16";".";".";"70";"30";".";".";"0"
"Varsseveld";"BU15090300";"2466";"197";"84";"16";".";".";"62";"38";".";".";"0"
"Westendorp";"BU15090301";"180";"213";"94";"6";".";".";"81";"19";".";".";"0"
"Sinderen";"BU15090302";"64";"227";"100";"0";".";".";"72";"28";".";".";"0"
"Heelweg";"BU15090303";"43";"284";"95";"5";".";".";"93";"7";".";".";"0"
"Verspreide huizen Westendorp";"BU15090306";"195";"268";"83";"17";".";".";"88";"12";".";".";"0"
"Verspreide huizen Heelweg";"BU15090307";"408";"269";"81";"19";".";".";"83";"16";".";".";"1"
"Verspreide huizen Varsseveld";"BU15090308";"255";"299";"84";"16";".";".";"89";"11";".";".";"0"
"Verspreide huizen Sinderen";"BU15090309";"306";"277";"81";"19";".";".";"83";"17";".";".";"0"
"Teylingen";"GM1525";"14687";"285";"76";"24";".";".";"64";"35";".";".";"1"
"Wijk 00 Sassenheim";"WK152500";"6686";"258";"70";"30";".";".";"60";"40";".";".";"0"
"Sassenheim";"BU15250000";"6661";"257";"70";"30";".";".";"60";"40";".";".";"0"
"Verspreide huizen Sassenheim";"BU15250009";"25";".";"100";"0";".";".";"76";"20";".";".";"4"
"Wijk 01 Voorhout";"WK152501";"5843";"284";"86";"14";".";".";"71";"28";".";".";"1"
"Voorhout";"BU15250100";"2178";"256";"76";"24";".";".";"62";"35";".";".";"2"
"Toegangsweg";"BU15250101";"137";"287";"77";"23";".";".";"66";"34";".";".";"0"
"'s-Gravendamseweg";"BU15250102";"69";"258";"99";"1";".";".";"77";"23";".";".";"0"
"Hoogh Teylingen";"BU15250103";"1507";"332";"87";"13";".";".";"78";"22";".";".";"0"
"Oosthout";"BU15250107";"1775";"279";"95";"5";".";".";"74";"26";".";".";"0"
"Verspreide huizen Voorhout";"BU15250109";"177";"283";"94";"6";".";".";"88";"12";".";".";"0"
"Wijk 02 Warmond";"WK152502";"2158";"381";"71";"29";".";".";"55";"40";".";".";"5"
"Warmond";"BU15250200";"2000";"371";"71";"29";".";".";"54";"41";".";".";"5"
"Oosteinde";"BU15250201";"58";"673";"95";"5";".";".";"86";"12";".";".";"2"
"Verspreide huizen Warmond";"BU15250209";"100";"412";"58";"42";".";".";"53";"46";".";".";"1"
"Utrechtse Heuvelrug";"GM1581";"21358";"305";"77";"23";".";".";"60";"37";".";".";"3"
"Wijk 00 Doorn";"WK158100";"4891";"328";"73";"27";".";".";"55";"38";".";".";"7"
"Doorn-Centrum";"BU15810000";"1410";"409";"81";"19";".";".";"74";"26";".";".";"0"
"Oudeweg";"BU15810001";"553";"170";"29";"71";".";".";"58";"42";".";".";"0"
"Doorn-West";"BU15810002";"851";"428";"77";"23";".";".";"65";"34";".";".";"1"
"Doorn-Zuid";"BU15810003";"632";"264";"61";"39";".";".";"57";"42";".";".";"1"
"De Wijngaard";"BU15810004";"868";"210";"78";"22";".";".";"35";"65";".";".";"0"
"Verspreide huizen op de Heuvelrug-Oost";"BU15810007";"33";".";"88";"12";".";".";"79";"21";".";".";"0"
"Verspreide huizen op de Heuvelrug-West";"BU15810008";"448";".";"99";"1";".";".";".";".";".";".";"."
"Verspreide huizen in het Lage Land";"BU15810009";"96";"688";"93";"7";".";".";"74";"24";".";".";"2"
"Wijk 01 Driebergen-Rijssenburg";"WK158101";"7875";"302";"72";"28";".";".";"59";"39";".";".";"2"
"Landelijk Gebied noordzijde";"BU15810101";"19";".";".";".";".";".";".";".";".";".";"."
"Landelijk Gebied zuidzijde";"BU15810102";"97";"441";"85";"15";".";".";"67";"31";".";".";"2"
"Driebergen-Noord";"BU15810103";"790";"435";"85";"15";".";".";"75";"25";".";".";"0"
"Drift-Sportlaan en Bornia";"BU15810104";"147";"303";"81";"19";".";".";"73";"27";".";".";"0"
"Loolaankwartier en Beukenstein";"BU15810105";"830";"307";"62";"38";".";".";"49";"39";".";".";"13"
"Kom Driebergen en Seminarie";"BU15810106";"1529";"297";"68";"32";".";".";"56";"43";".";".";"0"
"Hoenderdaal en Emmalaan";"BU15810107";"1076";"273";"83";"17";".";".";"64";"36";".";".";"0"
"Wildbaan-Dennenburg";"BU15810108";"2040";"212";"59";"41";".";".";"51";"49";".";".";"0"
"Welgelegen-Rosarium";"BU15810109";"1278";"379";"83";"17";".";".";"66";"34";".";".";"1"
"De Horst en De Akker";"BU15810110";"69";".";"100";"0";".";".";"64";"35";".";".";"1"
"Wijk 02 Leersum";"WK158102";"3143";"293";"83";"17";".";".";"64";"36";".";".";"0"
"Leersum";"BU15810200";"2851";"276";"83";"17";".";".";"62";"38";".";".";"0"
"Breedeveen";"BU15810201";"34";".";"79";"21";".";".";"74";"26";".";".";"0"
"Verspr.h. in het Lage Gebied Darthuizen";"BU15810207";"118";"585";"83";"17";".";".";"86";"14";".";".";"0"
"Verspreide huizen op de Heuvelrug";"BU15810208";"47";".";"81";"19";".";".";"72";"28";".";".";"0"
"Verspr.h. in de Geldersche Vallei Overbe";"BU15810209";"93";"453";"85";"15";".";".";"87";"13";".";".";"0"
"Wijk 03 Amerongen";"WK158103";"2791";"285";"81";"19";".";".";"63";"35";".";".";"2"
"Amerongen";"BU15810300";"2329";"267";"79";"21";".";".";"59";"39";".";".";"2"
"Verspreide huizen Overberg en De Haar";"BU15810302";"349";"378";"91";"9";".";".";"81";"17";".";".";"2"
"Verspreide huizen Heuvelrug";"BU15810308";"30";".";"90";"10";".";".";"73";"27";".";".";"0"
"Verspreide huizen Lekdijk";"BU15810309";"83";"410";"94";"6";".";".";"90";"10";".";".";"0"
"Wijk 04 Maarn";"WK158104";"2658";"324";"89";"11";".";".";"68";"28";".";".";"4"
"Maarn waaronder Klein Amsterdam";"BU15810400";"1917";"306";"88";"12";".";".";"71";"29";".";".";"1"
"Maarsbergen";"BU15810402";"324";"330";"92";"8";".";".";"72";"28";".";".";"0"
"Valkenheide";"BU15810403";"62";"410";"85";"15";".";".";"35";"65";".";".";"0"
"Verspreide huizen op de Heuvelrug";"BU15810408";"297";"522";"92";"8";".";".";"50";"16";".";".";"34"
"Verspr.h. in de Geldersche Vallei";"BU15810409";"58";".";"83";"17";".";".";"79";"19";".";".";"2"
"Oost Gelre";"GM1586";"12587";"198";"84";"16";".";".";"73";"27";".";".";"0"
"Wijk 01 Lichtenvoorde";"WK158601";"5573";"197";"84";"16";".";".";"69";"30";".";".";"0"
"'t Zand";"BU15860101";"312";"239";"98";"2";".";".";"84";"16";".";".";"0"
"Schatberg";"BU15860102";"471";"230";"98";"2";".";".";"88";"12";".";".";"0"
"Den Esch";"BU15860103";"111";"194";"80";"20";".";".";"69";"31";".";".";"0"
"Hooiland";"BU15860104";"918";"167";"94";"6";".";".";"56";"44";".";".";"0"
"Centrum";"BU15860105";"570";"178";"25";"75";".";".";"43";"55";".";".";"3"
"Veld Oost";"BU15860106";"1007";"183";"94";"6";".";".";"70";"30";".";".";"0"
"Veld West";"BU15860107";"446";"176";"91";"9";".";".";"65";"35";".";".";"0"
"Broek";"BU15860108";"467";"169";"54";"46";".";".";"53";"47";".";".";"0"
"Broekdijk";"BU15860109";"670";"205";"97";"3";".";".";"89";"11";".";".";"0"
"Zuid-West";"BU15860110";"192";"248";"93";"7";".";".";"97";"3";".";".";"0"
"Flierbeek";"BU15860111";"179";"272";"100";"0";".";".";"77";"23";".";".";"0"
"Lindebrook";"BU15860112";"8";".";".";".";".";".";".";".";".";".";"."
"Nieuwe Kamp";"BU15860113";"31";".";"77";"23";".";".";"71";"29";".";".";"0"
"Oude Kamp";"BU15860114";"57";".";"88";"12";".";".";"79";"12";".";".";"9"
"De Kamp Zuid";"BU15860115";"3";".";".";".";".";".";".";".";".";".";"."
"Buitengebied Lichtenvoorde";"BU15860116";"131";"299";"85";"15";".";".";"81";"19";".";".";"0"
"Wijk 02 Harreveld";"WK158602";"500";"214";"90";"10";".";".";"81";"18";".";".";"1"
"Bebouwde kom Harreveld";"BU15860201";"303";"189";"95";"5";".";".";"81";"18";".";".";"1"
"Buitengebied Harreveld";"BU15860202";"197";"259";"83";"17";".";".";"82";"18";".";".";"0"
"Wijk 03 Zieuwewnt";"WK158603";"809";"232";"92";"8";".";".";"82";"18";".";".";"0"
"Bebouwde kom Zieuwent";"BU15860301";"489";"200";"94";"6";".";".";"79";"21";".";".";"0"
"Buitengebied Zieuwent";"BU15860302";"320";"293";"88";"12";".";".";"87";"13";".";".";"0"
"Wijk 04  Lievelde";"WK158604";"525";"234";"92";"8";".";".";"82";"18";".";".";"0"
"Bebouwde kom Lievelde";"BU15860401";"298";"208";"98";"2";".";".";"81";"19";".";".";"0"
"Buitengebied Lievelde";"BU15860402";"227";"275";"84";"16";".";".";"84";"16";".";".";"0"
"Wijk 05 Vragender";"WK158605";"389";"241";"89";"11";".";".";"85";"15";".";".";"0"
"Bebouwde kom Vragender";"BU15860501";"172";"209";"97";"3";".";".";"85";"15";".";".";"0"
"Buitengebied Vragender";"BU15860502";"217";"276";"83";"17";".";".";"85";"15";".";".";"0"
"Wijk 06 Groenlo";"WK158606";"4446";"181";"80";"20";".";".";"72";"28";".";".";"0"
"Binnenstad Groenlo";"BU15860601";"776";"155";"32";"68";".";".";"49";"49";".";".";"1"
"Het Blik";"BU15860602";"176";"176";"98";"2";".";".";"85";"15";".";".";"0"
"Noord-West";"BU15860603";"1031";"155";"96";"4";".";".";"75";"25";".";".";"0"
"Banninghof";"BU15860604";"585";"174";"80";"20";".";".";"65";"35";".";".";"0"
"Papendijk";"BU15860605";"624";"152";"93";"7";".";".";"71";"29";".";".";"0"
"hartreize";"BU15860606";"315";"244";"88";"12";".";".";"91";"9";".";".";"0"
"Groenlo-Zuid";"BU15860607";"235";"233";"81";"19";".";".";"77";"23";".";".";"0"
"Marveld";"BU15860608";"48";"290";"100";"0";".";".";"98";"2";".";".";"0"
"Bedrijventerrein Brandemat";"BU15860609";"117";"213";"88";"12";".";".";"77";"23";".";".";"0"
"Oosteres";"BU15860610";"141";"228";"97";"3";".";".";"89";"11";".";".";"0"
"Noordrand";"BU15860611";"27";".";"100";"0";".";".";"89";"11";".";".";"0"
"IndustrieterreinDen Sliem";"BU15860612";"0";".";".";".";".";".";".";".";".";".";"."
"Industrieterrein Laarberg";"BU15860613";"2";".";".";".";".";".";".";".";".";".";"."
"Zwolle";"BU15860614";"25";".";"92";"8";".";".";"88";"12";".";".";"0"
"Buitengebied Groenlo";"BU15860615";"344";"264";"84";"16";".";".";"80";"19";".";".";"1"
"Wijk 07 Marienvelde";"WK158607";"345";"231";"89";"11";".";".";"82";"18";".";".";"0"
"Bebowde kom Marienvelde";"BU15860701";"169";"195";"93";"7";".";".";"77";"23";".";".";"0"
"Buitengebied Marienvelde";"BU15860702";"176";"267";"86";"14";".";".";"88";"13";".";".";"0"
"Koggenland";"GM1598";"9128";"232";"85";"15";".";".";"77";"22";".";".";"1"
"Wijk 00 Westerkoggenland";"WK159800";"2324";"229";"84";"16";".";".";"76";"22";".";".";"1"
"De Goorn";"BU15980001";"1384";"220";"82";"18";".";".";"75";"25";".";".";"0"
"Berkhout";"BU15980002";"816";"237";"86";"14";".";".";"76";"20";".";".";"4"
"Bobeldijk";"BU15980003";"124";"300";"95";"5";".";".";"93";"7";".";".";"0"
"Wijk 01 Spierdijk";"WK159801";"648";"250";"82";"18";".";".";"77";"20";".";".";"3"
"Spierdijk";"BU15980100";"648";"250";"82";"18";".";".";"77";"20";".";".";"3"
"Wijk 02 Zuidermeer";"WK159802";"211";"281";"86";"14";".";".";"86";"14";".";".";"0"
"Zuidermeer en omgeving";"BU15980200";"211";"281";"86";"14";".";".";"86";"14";".";".";"0"
"Wijk 03 Ursem";"WK159803";"1188";"233";"90";"10";".";".";"77";"21";".";".";"3"
"Ursem-Centrum";"BU15980300";"931";"209";"88";"12";".";".";"72";"24";".";".";"3"
"Rustenburg";"BU15980301";"85";"259";"92";"8";".";".";"91";"9";".";".";"0"
"Noorddijk en omgeving";"BU15980308";"137";"373";"99";"1";".";".";"94";"6";".";".";"0"
"Mijzer polder";"BU15980309";"35";".";"89";"11";".";".";"94";"6";".";".";"0"
"Wijk 04 Avenhorn";"WK159804";"1615";"225";"78";"22";".";".";"77";"23";".";".";"0"
"Avenhorn";"BU15980400";"1261";"215";"77";"23";".";".";"78";"22";".";".";"0"
"Scharwoude";"BU15980401";"213";"213";"73";"27";".";".";"66";"34";".";".";"0"
"Grosthuizen";"BU15980402";"141";"341";"99";"1";".";".";"89";"11";".";".";"0"
"Wijk 05 Oudendijk";"WK159805";"182";"283";"97";"3";".";".";"89";"11";".";".";"0"
"Oudendijk";"BU15980500";"182";"283";"97";"3";".";".";"89";"11";".";".";"0"
"Wijk 06 Obdam";"WK159806";"2379";"220";"84";"16";".";".";"73";"27";".";".";"0"
"Obdam";"BU15980600";"2308";"217";"83";"17";".";".";"73";"27";".";".";"0"
"Verspreide huizen langs Obdammerdijk";"BU15980608";"36";".";"100";"0";".";".";"86";"14";".";".";"0"
"Verspreide huizen in Berkmeer polder";"BU15980609";"35";".";"100";"0";".";".";"94";"6";".";".";"0"
"Wijk 07 Hensbroek";"WK159807";"581";"259";"93";"7";".";".";"83";"17";".";".";"0"
"Hensbroek";"BU15980700";"479";"244";"93";"7";".";".";"81";"19";".";".";"0"
"Wogmeer";"BU15980701";"102";"344";"91";"9";".";".";"91";"9";".";".";"0"
"Lansingerland";"GM1621";"22158";"268";"84";"16";".";".";"70";"29";".";".";"1"
"Wijk 11 Bergschenhoek";"WK162111";"1446";"226";"80";"20";".";".";"63";"35";".";".";"2"
"Dorp Bergschenhoek";"BU16211111";"1401";"216";"80";"20";".";".";"62";"36";".";".";"2"
"De Driehoek";"BU16211121";"45";".";"100";"0";".";".";"78";"22";".";".";"0"
"Wijk 12 De Ackers";"WK162112";"2805";"305";"85";"15";".";".";"78";"22";".";".";"0"
"Bergsche Ackers";"BU16211211";"856";"296";"90";"10";".";".";"82";"18";".";".";"0"
"Oosteindsche Ackers";"BU16211221";"1443";"329";"92";"8";".";".";"83";"17";".";".";"0"
"Ackerse Zoom";"BU16211231";"506";"254";"58";"42";".";".";"57";"43";".";".";"0"
"Wijk 13 Boterdorp";"WK162113";"1953";"252";"81";"19";".";".";"71";"29";".";".";"0"
"Beemdenbuurt";"BU16211311";"734";"225";"92";"8";".";".";"68";"32";".";".";"0"
"Eilandenbuurt";"BU16211321";"1067";"273";"76";"24";".";".";"78";"22";".";".";"0"
"Boterdorpse Zoom";"BU16211331";"152";"234";"61";"39";".";".";"36";"64";".";".";"0"
"Wijk 14";"WK162114";"15";".";".";".";".";".";".";".";".";".";"."
"Wilderszijde";"BU16211411";"15";".";".";".";".";".";".";".";".";".";"."
"Wijk 15 Oosteindsche Polder";"WK162115";"494";"396";"95";"5";".";".";"81";"19";".";".";"0"
"Bergse Nos";"BU16211514";"232";"426";"97";"3";".";".";"84";"16";".";".";"1"
"Schreyracker";"BU16211522";"39";".";"100";"0";".";".";"74";"26";".";".";"0"
"Hoeksekade";"BU16211531";"115";"221";"99";"1";".";".";"83";"17";".";".";"0"
"Weg en Land";"BU16211543";"73";"487";"81";"19";".";".";"73";"27";".";".";"0"
"Warmoeziersweg";"BU16211552";"35";".";"94";"6";".";".";"74";"26";".";".";"0"
"Wijk 21 Berkel";"WK162121";"1837";"217";"73";"27";".";".";"56";"44";".";".";"0"
"Berkel Dorp";"BU16212111";"593";"207";"52";"48";".";".";"45";"54";".";".";"0"
"Parkbuurt";"BU16212121";"418";"280";"55";"45";".";".";"60";"40";".";".";"0"
"Oranjebuurt";"BU16212131";"822";"191";"98";"2";".";".";"61";"39";".";".";"0"
"Annie M.G. Schmidtpark Midden";"BU16212144";"4";".";".";".";".";".";".";".";".";".";"."
"Wijk 22 Noordpolder";"WK162122";"2023";"218";"84";"16";".";".";"69";"31";".";".";"0"
"Bomen- en Struikenbuurt";"BU16212211";"415";"192";"64";"36";".";".";"41";"59";".";".";"0"
"Sterrenbuurt";"BU16212221";"796";"206";"78";"22";".";".";"56";"44";".";".";"0"
"Edelsteenbuurt";"BU16212231";"553";"245";"100";"0";".";".";"95";"5";".";".";"0"
"Componistenbuurt";"BU16212241";"259";"241";"100";"0";".";".";"94";"6";".";".";"0"
"Annie M.G. Schmidtpark Noord";"BU16212254";"0";".";".";".";".";".";".";".";".";".";"."
"Wijk 23 Meerpolder";"WK162123";"2174";"260";"76";"24";".";".";"68";"32";".";".";"0"
"Merenbuurt";"BU16212311";"360";"247";"100";"0";".";".";"71";"29";".";".";"0"
"Rivierenbuurt";"BU16212321";"957";"262";"66";"34";".";".";"60";"40";".";".";"0"
"Havenbuurt";"BU16212331";"857";"263";"77";"23";".";".";"76";"24";".";".";"0"
"Wijk 24 Noordeinde";"WK162124";"601";"368";"98";"2";".";".";"79";"21";".";".";"0"
"Noordeinde";"BU16212412";"601";"368";"98";"2";".";".";"79";"21";".";".";"0"
"Wijk 25 Zuidpolder";"WK162125";"1815";"254";"91";"9";".";".";"71";"29";".";".";"0"
"Bloemenbuurt";"BU16212511";"333";"201";"95";"5";".";".";"55";"45";".";".";"0"
"Parc Rodenrijs";"BU16212521";"483";"298";"79";"21";".";".";"73";"27";".";".";"0"
"Vogelbuurt";"BU16212531";"523";"201";"100";"0";".";".";"67";"33";".";".";"0"
"Weidebloembuurt";"BU16212541";"476";"303";"91";"9";".";".";"86";"13";".";".";"0"
"Wijk 26 De Wadden";"WK162126";"651";"318";"85";"15";".";".";"94";"6";".";".";"0"
"Rodenrijse Zoom";"BU16212611";"579";"317";"83";"17";".";".";"94";"6";".";".";"0"
"Bonfut";"BU16212621";"72";"323";"100";"0";".";".";"89";"11";".";".";"0"
"Berkelse Poort";"BU16212633";"0";".";".";".";".";".";".";".";".";".";"."
"Annie M.G. Schmidtpark Zuid";"BU16212644";"0";".";".";".";".";".";".";".";".";".";"."
"Wijk 27 Westpolder";"WK162127";"1241";"326";"84";"16";".";".";"67";"33";".";".";"0"
"Bolwerk";"BU16212711";"308";"302";"79";"21";".";".";"78";"22";".";".";"0"
"Gouden Griffelbuurt";"BU16212721";"508";"333";"91";"9";".";".";"64";"36";".";".";"0"
"Gouden Uilbuurt";"BU16212731";"415";"332";"79";"21";".";".";"64";"36";".";".";"0"
"Buurt 2741";"BU16212741";"10";".";".";".";".";".";".";".";".";".";"."
"Wijk 28 Rodenrijs";"WK162128";"458";"326";"97";"3";".";".";"87";"13";".";".";"0"
"Vlinderstrik";"BU16212814";"396";"319";"97";"3";".";".";"88";"12";".";".";"0"
"Spoorhaven";"BU16212823";"9";".";".";".";".";".";".";".";".";".";"."
"Bedrijventerrein Rodenrijs";"BU16212833";"12";".";".";".";".";".";".";".";".";".";"."
"Oudeland";"BU16212843";"10";".";".";".";".";".";".";".";".";".";"."
"Buurt 2851";"BU16212851";"15";".";".";".";".";".";".";".";".";".";"."
"Bergboezem";"BU16212864";"16";".";".";".";".";".";".";".";".";".";"."
"Wijk 31 Bleiswijk";"WK162131";"1868";"267";"75";"25";".";".";"62";"33";".";".";"5"
"Schildersbuurt";"BU16213111";"299";"247";"94";"6";".";".";"77";"23";".";".";"0"
"Zeeheldenbuurt";"BU16213121";"469";"239";"98";"2";".";".";"70";"30";".";".";"0"
"De Hoefslag";"BU16213133";"55";".";"91";"9";".";".";"76";"18";".";".";"5"
"Oranjebuurt";"BU16213141";"1009";"266";"57";"43";".";".";"53";"38";".";".";"9"
"Zeldenrust";"BU16213162";"36";".";"100";"0";".";".";"75";"25";".";".";"0"
"Wijk 32 Hoekeindse Zoom";"WK162132";"2315";"241";"92";"8";".";".";"69";"31";".";".";"0"
"Molenbuurt";"BU16213211";"336";"328";"88";"13";".";".";"80";"20";".";".";"0"
"Sterrenbuurt";"BU16213221";"568";"248";"98";"2";".";".";"79";"21";".";".";"0"
"Bomenbuurt";"BU16213231";"836";"210";"88";"12";".";".";"57";"43";".";".";"0"
"Merenveld";"BU16213242";"6";".";".";".";".";".";".";".";".";".";"."
"Vogelbuurt";"BU16213251";"413";"216";"100";"0";".";".";"81";"19";".";".";"0"
"De Tuinen";"BU16213261";"156";"233";"81";"19";".";".";"49";"51";".";".";"1"
"Wijk 33 Bleiswijk Buiten";"WK162133";"462";"333";"98";"2";".";".";"77";"23";".";".";"0"
"Overbuurtse Polder";"BU16213312";"310";"371";"98";"2";".";".";"77";"23";".";".";"0"
"Klappolder";"BU16213323";"53";"358";"100";"0";".";".";"74";"26";".";".";"0"
"Rotte Zoom";"BU16213334";"18";".";".";".";".";".";".";".";".";".";"."
"Kruisweg";"BU16213344";"76";"366";"96";"4";".";".";"80";"20";".";".";"0"
"Prisma";"BU16213353";"5";".";".";".";".";".";".";".";".";".";"."
"Leudal";"GM1640";"15520";"213";"89";"11";".";".";"80";"20";".";".";"1"
"Heythuysen";"WK164000";"2983";"210";"78";"22";".";".";"72";"25";".";".";"3"
"Kern Heythuysen";"BU16400000";"2614";"206";"79";"21";".";".";"72";"24";".";".";"4"
"Verspreide huizen Heythuysen";"BU16400001";"369";"253";"73";"27";".";".";"68";"32";".";".";"0"
"Heibloem";"WK164001";"310";"219";"96";"4";".";".";"86";"14";".";".";"0"
"Kern Heibloem";"BU16400100";"245";"207";"98";"2";".";".";"86";"14";".";".";"0"
"Verspreide huizen Heibloem";"BU16400101";"65";"274";"88";"12";".";".";"88";"12";".";".";"0"
"Roggel";"WK164002";"1795";"223";"89";"11";".";".";"80";"20";".";".";"0"
"Kern Roggel";"BU16400200";"1469";"213";"88";"12";".";".";"77";"22";".";".";"0"
"Verspreide huizen Roggel";"BU16400201";"326";"280";"93";"7";".";".";"92";"7";".";".";"0"
"Neer";"WK164003";"1445";"212";"91";"9";".";".";"83";"17";".";".";"0"
"Kern Neer";"BU16400300";"1161";"202";"89";"11";".";".";"81";"19";".";".";"0"
"Verspreide huizen Neer";"BU16400301";"284";"262";"99";"1";".";".";"93";"7";".";".";"0"
"Nunhem";"WK164004";"304";"205";"92";"8";".";".";"83";"17";".";".";"0"
"Kern Nunhem";"BU16400400";"266";"203";"95";"5";".";".";"85";"15";".";".";"0"
"Verspreide huizen Nunhem";"BU16400401";"38";".";"68";"32";".";".";"74";"26";".";".";"0"
"Haelen";"WK164005";"1914";"197";"89";"11";".";".";"78";"22";".";".";"0"
"Kern Haelen";"BU16400500";"1800";"195";"88";"12";".";".";"77";"23";".";".";"0"
"Verspreide huizen Haelen";"BU16400501";"114";"236";"96";"4";".";".";"84";"16";".";".";"0"
"Buggenum";"WK164006";"401";"220";"93";"7";".";".";"81";"19";".";".";"0"
"Kern Buggenum";"BU16400600";"383";"220";"93";"7";".";".";"80";"20";".";".";"0"
"Verspreide huizen Buggenum";"BU16400601";"18";".";".";".";".";".";".";".";".";".";"."
"Horn";"WK164007";"1627";"207";"91";"9";".";".";"82";"18";".";".";"0"
"Kern Horn";"BU16400700";"1533";"206";"92";"8";".";".";"83";"17";".";".";"0"
"Verspreide huizen Horn";"BU16400701";"94";".";"74";"26";".";".";"65";"35";".";".";"0"
"Baexem";"WK164008";"1062";"225";"87";"13";".";".";"79";"21";".";".";"0"
"Kern Baexem";"BU16400800";"893";"217";"87";"13";".";".";"76";"24";".";".";"0"
"Verspreide huizen Baexem";"BU16400801";"169";"304";"86";"14";".";".";"93";"7";".";".";"0"
"Kelpen-Oler";"WK164009";"484";"243";"93";"7";".";".";"82";"18";".";".";"0"
"Kern Kelpen-Oler";"BU16400900";"274";"211";"92";"8";".";".";"74";"26";".";".";"0"
"Verspreide huizen Kelpen-Oler";"BU16400901";"210";"300";"96";"4";".";".";"91";"9";".";".";"0"
"Grathem";"WK164010";"708";"222";"96";"4";".";".";"85";"15";".";".";"0"
"Kern Grathem";"BU16401000";"633";"215";"96";"4";".";".";"84";"16";".";".";"0"
"Verspreide huizen Grathem";"BU16401001";"75";".";"93";"7";".";".";"93";"7";".";".";"0"
"Ell";"WK164011";"557";"219";"92";"8";".";".";"86";"14";".";".";"0"
"Kern Ell";"BU16401100";"431";"207";"91";"9";".";".";"83";"17";".";".";"0"
"Verspreide huizen Ell";"BU16401101";"126";"276";"94";"6";".";".";"96";"3";".";".";"1"
"Haler";"WK164012";"201";"249";"99";"1";".";".";"94";"6";".";".";"0"
"Kern Haler";"BU16401200";"113";"221";"100";"0";".";".";"90";"10";".";".";"0"
"Verspreide huizen Haler";"BU16401201";"88";"303";"97";"3";".";".";"98";"2";".";".";"0"
"Hunsel";"WK164013";"411";"230";"92";"8";".";".";"86";"14";".";".";"0"
"Kern Hunsel";"BU16401300";"317";"227";"90";"10";".";".";"83";"17";".";".";"0"
"Verspreide huizen Hunsel";"BU16401301";"94";"245";"97";"3";".";".";"95";"5";".";".";"0"
"Neeritter";"WK164014";"580";"199";"93";"7";".";".";"77";"23";".";".";"0"
"Kern Neeritter";"BU16401400";"543";"196";"92";"8";".";".";"76";"24";".";".";"0"
"Verspreide huizen Neeritter";"BU16401401";"37";".";"100";"0";".";".";"89";"11";".";".";"0"
"Ittervoort";"WK164015";"738";"210";"96";"4";".";".";"83";"17";".";".";"0"
"Kern Ittervoort";"BU16401500";"686";"207";"97";"3";".";".";"83";"17";".";".";"0"
"Verspreide huizen Ittervoort";"BU16401501";"52";".";"94";"6";".";".";"85";"13";".";".";"2"
